                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.46581,                  0.486,                0.95418,                0.98246,                0.98579,                0.99329,                0.90309,                0.43497,                 0.2916,                0.91794,             0.00012302,             0.00012302,             0.00012302
                     92,                0.47291,                0.49372,                0.96197,                0.98112,                0.97636,                0.99309,                0.90616,                0.42389,                0.28518,                0.90988,             0.00012245,             0.00012245,             0.00012245
                     93,                0.46546,                0.47571,                 0.9539,                0.99031,                0.97784,                0.99293,                0.90645,                0.43293,                0.28458,                0.91499,             0.00012187,             0.00012187,             0.00012187
                     94,                0.46775,                0.47518,                0.96225,                0.98287,                0.98635,                0.99348,                0.90812,                0.42584,                0.27999,                0.91361,             0.00012129,             0.00012129,             0.00012129
                     95,                0.45535,                0.46191,                0.94899,                0.98556,                0.98356,                0.99407,                 0.9062,                0.42865,                0.28427,                0.91154,             0.00012071,             0.00012071,             0.00012071
                     96,                0.45646,                0.46909,                0.94668,                 0.9854,                0.98753,                0.99325,                0.90789,                0.42412,                0.27219,                0.91223,             0.00012014,             0.00012014,             0.00012014
                     97,                0.46373,                0.47567,                0.95147,                0.98895,                0.98201,                0.99349,                0.90577,                0.42836,                0.27425,                0.91417,             0.00011956,             0.00011956,             0.00011956
                     98,                0.46505,                0.47823,                0.95728,                0.98759,                0.98513,                0.99441,                0.90382,                0.42946,                0.26871,                0.91781,             0.00011898,             0.00011898,             0.00011898
                     99,                0.46228,                0.46988,                0.96417,                0.98706,                0.97925,                0.99219,                0.90769,                0.41859,                0.27271,                0.90697,              0.0001184,              0.0001184,              0.0001184
                    100,                0.46689,                0.47206,                0.95376,                0.98456,                0.98622,                0.99393,                0.90595,                  0.425,                0.27178,                0.91344,             0.00011783,             0.00011783,             0.00011783
                    101,                0.46192,                0.46396,                0.95096,                0.97884,                 0.9839,                0.99292,                0.90689,                 0.4174,                 0.2757,                0.90814,             0.00011725,             0.00011725,             0.00011725
                    102,                 0.4665,                0.46969,                  0.955,                0.98569,                0.98714,                0.99393,                0.90949,                0.42232,                0.26931,                0.91283,             0.00011667,             0.00011667,             0.00011667
                    103,                0.45615,                 0.4455,                0.95434,                0.98825,                 0.9847,                0.99347,                0.90683,                0.42474,                 0.2743,                0.90963,             0.00011609,             0.00011609,             0.00011609
                    104,                0.45969,                0.46441,                0.95934,                 0.9869,                0.98711,                0.99227,                0.90505,                0.42401,                0.27513,                0.90833,             0.00011552,             0.00011552,             0.00011552
                    105,                0.46519,                0.45961,                0.95844,                0.98608,                0.98717,                0.99404,                0.90557,                0.42433,                0.26132,                0.91099,             0.00011494,             0.00011494,             0.00011494
                    106,                0.46001,                0.45796,                  0.956,                0.98539,                0.98392,                0.99328,                 0.9073,                0.41982,                0.26115,                0.91072,             0.00011436,             0.00011436,             0.00011436
                    107,                 0.4555,                0.45546,                0.94819,                 0.9894,                0.98312,                0.99416,                0.90632,                0.41944,                0.26164,                0.91181,             0.00011379,             0.00011379,             0.00011379
                    108,                0.44404,                0.44466,                0.94637,                0.98809,                0.98748,                 0.9944,                0.90907,                0.41646,                0.25866,                0.90721,             0.00011321,             0.00011321,             0.00011321
                    109,                 0.4556,                0.45264,                0.95058,                0.98579,                0.98334,                0.99282,                0.90807,                0.42173,                0.26968,                0.91225,             0.00011263,             0.00011263,             0.00011263
                    110,                0.45554,                0.45251,                0.94945,                0.98467,                0.98773,                0.99393,                0.90703,                0.42444,                0.26615,                0.91423,             0.00011205,             0.00011205,             0.00011205
                    111,                0.44705,                0.44269,                0.94735,                0.98969,                 0.9879,                0.99415,                0.90538,                0.42216,                0.26268,                0.91279,             0.00011147,             0.00011147,             0.00011147
                    112,                0.45899,                0.44639,                0.95586,                0.98877,                0.98742,                0.99402,                0.90663,                0.41999,                0.25798,                0.91002,              0.0001109,              0.0001109,              0.0001109
                    113,                0.44395,                0.43733,                0.94535,                 0.9914,                0.98455,                0.99416,                0.90633,                0.42267,                0.25759,                0.91276,             0.00011032,             0.00011032,             0.00011032
                    114,                 0.4458,                0.44415,                0.94593,                0.98687,                0.98269,                0.99403,                0.90727,                0.42308,                0.26079,                0.91339,             0.00010974,             0.00010974,             0.00010974
                    115,                0.45158,                0.43952,                0.95117,                0.98618,                0.98549,                0.99418,                0.90741,                 0.4203,                0.25837,                0.91173,             0.00010917,             0.00010917,             0.00010917
